Nome Format,Tipologia,Logistica,Metodo di calcolo,Pricing,Target Ideale,Vibe / Emozione,Sales Hook,Social,Novità ,Ranking,Max Pax,Durata Min,Durata Max,Durata Ideale,Descrizione Breve,Formazione,Note,Link website page,link pdf ita,link ppt ita,Link pdf eng,Link ppt eng
5ensi,Sensoriale / Cena,Durante i pasti,Standard,80,"Gruppi Internazionali, Cene Relax","Relax, Sensoriale, Scoperta",Un viaggio sensoriale dove le parole non servono: contano solo le percezioni.,no,no,2,Illimitato,1,2,"1,5",Sfida a squadre basata sull'uso dei 5 sensi per riconoscere oggetti e sapori.,High,,https://www.teambuilding.it/project/5ensi/,https://teambuilding.it/preventivi/schede/ita/5ensi - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/5ensi - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/5ensi - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/5ensi - TeamBuilding-it-eng.pptx
Actors Studio,Teatrale / Creativo,Indoor,Standard,70,"Team Commerciali, Estroversi","Creatività , Risate, Espressione","Luci, camera, azione! Mettete in scena il talento nascosto del vostro team.",si,no,4,Illimitato,3,6,4,"I partecipanti scrivono, costumano e recitano brevi scene teatrali o spot.",High,,https://www.teambuilding.it/project/actors-studio/,https://teambuilding.it/preventivi/schede/ita/Actors Studio - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Actors Studio - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Actors Studio - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Actors Studio - TeamBuilding-it-eng.pptx
Affresco,Creativo / Artistico,Indoor / Outdoor,Standard,75,"Team Creativi, Grandi Gruppi","Creatività , Collaborazione Pura, Relax","Ogni pennellata è unica, ma è l'insieme che crea il capolavoro aziendale.",no,no,4,Illimitato,"1,5",3,2,Creazione di un grande dipinto collettivo su pannelli che formano un'unica opera.,medium,,https://www.teambuilding.it/project/affresco/,https://teambuilding.it/preventivi/schede/ita/Affresco - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Affresco - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Affresco - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Fresco - TeamBuilding-it-eng.pptx
Agility Dog,Sociale / Costruzione,Outdoor,Standard,90,"Amanti animali, Team Empatici","Cuore, Natura, Empatia",Costruire per i nostri amici a 4 zampe: un team building che fa scodinzolare il cuore.,no,si,2,50,2,3,"2,5",Costruzione di un percorso a ostacoli per cani e dimostrazione finale con addestratori.,low,,https://www.teambuilding.it/project/agility-dog/,https://teambuilding.it/preventivi/schede/ita/Agility Dog - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Agility Dog - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Agility Dog - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Agility Dog - TeamBuilding-eng.pptx
AI TeamBuilders,Tech / AI,Indoor,Standard,80,"Marketing, IT, Gen-Z, Innovatori","Innovazione, Futuro, Visionario",Il futuro è adesso: collaborate con l'Intelligenza Artificiale per creare l'impossibile.,no,si,5,Illimitato,2,3,"2,5",Utilizzo dell'intelligenza artificiale per ideare e creare nuovi format o prodotti.,High,,https://www.teambuilding.it/project/ai-team-builders/,https://teambuilding.it/preventivi/schede/ita/AI - Costruire un Teambuilding - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/AI - Costruire un Teambuilding - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/AI TeamBuilders - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/AI - Teambuilders - TeamBuilding-it - eng.pptx
Aliante,Esperienziale / Volo,Outdoor,Standard,700,"Board Direzionale, Top Management","Adrenalina, Esclusività , Libertà",Cambiate prospettiva e puntate in alto: un'esperienza di volo esclusiva e indimenticabile.,no,no,1,50,4,8,6,"Giornata in aeroclub con montaggio aliante, simulatore e prova di volo reale.",High,"Si svolge solo a Bergamo in giornate prive di vento. Format complesso da organizzare, ma eccezionale, di impatto e molto adatto a scopi formativi.",https://www.teambuilding.it/project/aliante/,https://teambuilding.it/preventivi/schede/ita/Aliante - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Aliante - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Aliante - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Glider - TeamBuilding-it-eng.pptx
Animal House,Sociale / Costruzione,Indoor / Outdoor,Standard,95,"Team Empatici, CSR","Cuore, Manualità , Utilità",Date una casa a chi non ce l'ha: manualità  e cuore al servizio degli animali.,si,si,3,Illimitato,1,3,2,Costruzione e decorazione di cucce e casette per animali da donare a canili/gattili.,Medium,,https://www.teambuilding.it/project/animal-house/,https://teambuilding.it/preventivi/schede/ita/Animal House - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Animal House - teamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Animal House - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Animal House - teamBuilding-it-eng.pptx
AperiBuilding,Culinario / Aperitivo,Indoor / Outdoor,Standard,90,"Gruppi misti, Ice-breaking","Convivialità , Gusto, Relax","Non il solito aperitivo, ma quello creato dalle vostre mani: shake your team!",no,no,4,Illimitato,1,"2,5","1,5",Sfida culinaria per la creazione del miglior finger food e cocktail abbinato.,low,,https://www.teambuilding.it/project/aperibuilding/,https://teambuilding.it/preventivi/schede/ita/AperiBuilding - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/AperiBuilding - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/AperiBuilding - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/AperiBuilding - TeamBuilding-it-eng.pptx
Auto Smash,Antistress,Outdoor,Standard,120,"Team sotto pressione, Sales","Adrenalina, Sfogo, Potenza",Avete avuto un anno stressante? E' il momento di distruggere tutto (letteralmente).,no,no,2,50,"0,5","1,5",1,Demolizione controllata di un'auto vera con mazze e martelli in totale sicurezza.,low,,https://www.teambuilding.it/project/auto-smash/,https://teambuilding.it/preventivi/schede/ita/autosmash - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/autosmash - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Auto Smash - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/autosmash - TeamBuilding- eng.pptx
Ballando,Danza / Show,Indoor,Standard,95,"Estroversi, Party Aziendali","Energia, Risate, Movimento",Il ritmo che unisce: scendete in pista e coordinatevi a tempo di musica.,no,no,2,Illimitato,"1,5",3,2,Preparazione di una coreografia di ballo di gruppo con esibizione finale.,low,,https://www.teambuilding.it/project/ballando/,https://teambuilding.it/preventivi/schede/ita/Ballando - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Ballando - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Ballando - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Dancing Challenge - TeamBuilding-it-eng.pptx
Beach Club,Sportivo / Giochi,Outdoor,Standard,75,"Giovani, Sportivi, Summer Party","Sole, Competizione, Divertimento","Sole, mare e sana competizione: le olimpiadi da spiaggia per ricaricare le batterie.",no,no,4,Illimitato,2,4,3,"Torneo di giochi da spiaggia (volley, bocce, castelli di sabbia, ecc.) in riva al mare.",low,,https://www.teambuilding.it/project/beach-club/,https://teambuilding.it/preventivi/schede/ita/Beach Club - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Beach Club - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Beach Club - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Beach Club - TeamBuilding-it-eng.pptx
